658.00
10
128448588
98569497
0 1 1 24 77.00 6 (D 0,1,1) (S 43,12,13) (S 12,3,8) (S 4,8,8) (S 3,6,6) (D 0,1,1)
0 1 2 26 71.00 9 (D 0,1,1) (S 38,22,25) (S 6,14,14) (S 39,6,9) (S 5,10,10) (D 0,1,1)
0 1 3 21 78.00 8 (D 0,1,1) (S 11,2,12) (S 2,4,4) (S 47,13,15) (S 46,25,26) (D 0,1,1)
0 1 4 24 70.00 6 (D 0,1,1) (S 23,24,27) (S 27,15,17) (S 1,2,2) (S 16,21,23) (D 0,1,1)
0 1 5 20 54.00 5 (D 0,1,1) (S 15,15,20) (S 24,7,11) (S 8,23,23) (D 0,1,1)
0 1 6 26 76.00 6 (D 0,1,1) (S 22,4,6) (S 41,18,25) (S 28,5,6) (S 29,4,19) (D 0,1,1)
0 1 7 15 66.00 8 (D 0,1,1) (S 32,20,21) (S 31,1,24) (S 14,13,14) (S 36,3,6) (S 20,4,12) (D 0,1,1)
0 1 8 23 70.00 7 (D 0,1,1) (S 9,26,26) (S 10,1,3) (S 21,5,9) (S 45,6,8) (D 0,1,1)
0 1 9 15 44.00 7 (D 0,1,1) (S 26,1,27) (S 13,14,20) (S 18,21,25) (S 25,21,22) (D 0,1,1)
0 1 10 12 47.00 6 (D 0,1,1) (S 7,16,16) (S 40,12,19) (S 17,3,4) (S 35,22,23) (D 0,1,1)
